,Function,Fit,Parameters,Cost,Trainset,EML
20,Continuous,exponweib,0.7157612857538069 1.2590798705817972 1.0011935922331496 1.7713803230721523,4.843439537655408,310,0.0027082383266911632
21,Optimal,,,4.830357777590507,360,0
22,Discrete,,,4.824549422309375,360,-0.0012024689574917991
23,Continuous,genpareto,0.04479829409438803 1.0053370142112006 1.5194516940704048,4.833151997120123,360,0.0005784705105240194
24,Optimal,,,4.830357777590507,410,0
25,Discrete,,,4.821525800573244,410,-0.0018284312309611262
26,Continuous,beta,0.9437120976142881 65.60596001966329 1.002506127237148 109.3857511480692,4.831761552479501,410,0.00029061509594718177
27,Optimal,,,4.830357777590507,460,0
28,Discrete,,,5.090580647486721,460,0.05387238003434592
29,Continuous,exponweib,0.9976647463379876 0.9594358047367895 1.0027481398977505 1.3829859213839826,4.836144456717271,460,0.0011979814732586444
30,Optimal,,,4.830357777590507,510,0
31,Discrete,,,4.840773810778295,510,0.0021563688793635465
32,Continuous,exponweib,1.1464021190223268 0.943252486798752 1.000414227701051 1.3056962234326634,4.83082814641933,510,9.737763753352528e-05
,Function,Fit,Parameters,Cost,Trainset,EML
0,Optimal,,,4.830357777590507,10,0
1,Discrete,,,5.50951318298341,10,0.14060147025624284
2,Continuous,invweibull,0.9837818799861049 0.9512765480232879 0.43610207013714314,5.02107460889303,10,0.03948296173573645
3,Optimal,,,4.830357777590507,60,0
4,Discrete,,,4.924324412013577,60,0.0194533487475835
5,Continuous,dgamma,0.7416759311012882 1.817898157711051 1.0351243130303769,4.983583846763862,60,0.03172147410782226
6,Optimal,,,4.830357777590507,110,0
7,Discrete,,,4.972635236177733,110,0.029454848923881827
8,Continuous,pearson3,2.16318999675869 2.6252826079333538 1.7460286959960518,4.835643045757372,110,0.001094177369507767
9,Optimal,,,4.830357777590507,160,0
10,Discrete,,,4.981112615218571,160,0.031209869862530933
11,Continuous,exponnorm,548.4598893472591 1.015436069157515 0.0031363061392788334,4.844521132078364,160,0.0029321543330733937
12,Optimal,,,4.830357777590507,210,0
13,Discrete,,,4.890145358620686,210,0.012377464316939705
14,Continuous,gamma,1.1101886534025711 1.007099105691213 1.5161215447395897,4.848344511307053,210,0.0037236856035782083
15,Optimal,,,4.830357777590507,260,0
16,Discrete,,,4.855878215913763,260,0.005283343283939167
17,Continuous,weibull_min,1.080665091269467 1.003702418140787 1.5111492299488392,4.835803425629638,260,0.001127379852563869
18,Optimal,,,4.830357777590507,310,0
19,Discrete,,,4.823786590866648,310,-0.0013603933758994887
20,Continuous,weibull_min,0.9924539721766418 1.010728074299426 1.4970525737069145,4.830403894098207,310,9.547223999358598e-06
21,Optimal,,,4.830357777590507,360,0
22,Discrete,,,4.861944605787117,360,0.006539231595462911
23,Continuous,weibull_min,1.0596276321302636 0.9997228883146545 1.4348257242914562,4.836049942246761,360,0.0011784147092916077
24,Optimal,,,4.830357777590507,410,0
25,Discrete,,,4.811788878357976,410,-0.003844207838739812
26,Continuous,exponweib,1.714517822429038 0.7515260740980516 0.9978294494753137 0.8946143495906287,4.83388540006286,410,0.0007303025230798722
27,Optimal,,,4.830357777590507,460,0
