,Function,Fit,Parameters,Cost,Trainset,EML
21,Optimal,,,11.937458937885499,360,0
22,Discrete,,,11.989751051041585,360,0.004380506222319146
23,Continuous,invgauss,0.02431481611762803 -5.758630270118057 566.4600023697399,11.965704957473019,360,0.002366166847944235
24,Optimal,,,11.937458937885499,410,0
25,Discrete,,,12.094041778210663,410,0.013116932266734155
26,Continuous,dweibull,1.3359219323702982 7.918370796495129 1.6693992162169047,11.965344783532085,410,0.0023359951051296667
27,Optimal,,,11.937458937885499,460,0
28,Discrete,,,11.950005672906215,460,0.0010510390097257251
29,Continuous,exponnorm,0.46738209560142474 7.271770975108602 1.8348076272498868,11.946654045524433,460,0.0007702734465332552
30,Optimal,,,11.937458937885499,510,0
31,Discrete,,,11.952858401389758,510,0.0012900118512983209
32,Continuous,dgamma,1.4826321789168402 8.032438234857125 0.9789279004656963,11.980036832575216,510,0.003566746902440814
,Function,Fit,Parameters,Cost,Trainset,EML
0,Optimal,,,11.937458937885499,10,0
1,Discrete,,,12.135192228750052,10,0.016564102284533436
2,Continuous,dgamma,1.2409508327074779 7.941629385889974 1.4224572488387826,12.006535100176816,10,0.005786504703450127
3,Optimal,,,11.937458937885499,60,0
4,Discrete,,,12.00732480348195,60,0.005852658087452816
5,Continuous,laplace,8.516480039784081 1.7102712964465887,12.02444104624292,60,0.007286484402586676
6,Optimal,,,11.937458937885499,110,0
7,Discrete,,,12.145530454844486,110,0.017430134674527642
8,Continuous,15,4.354928432745064e-09 -5.155142146544367e-07 2.817588107118771e-05 -0.000942270389631195 0.02153961806340968 -0.35609218690764555 4.392817999160638 -41.12468625175419 294.2021595978913 -1606.2829762885453 6630.338817740685 -20295.92786445742 44550.052025224504 -66135.33928328707 59324.35616795605 -24223.683088320493,19.960000002582092,110,0.6720476364727617
9,Optimal,,,11.937458937885499,160,0
10,Discrete,,,12.152891945110557,160,0.018046806137388797
11,Continuous,weibull_max,3.3543603793663133 14.025260967873777 6.725613296656577,12.00711284544717,160,0.005834902379484859
12,Optimal,,,11.937458937885499,210,0
13,Discrete,,,11.956247262898533,210,0.0015738965143918707
14,Continuous,weibull_min,3.385364136906083 1.6110821342327113 7.156637910375737,11.949790254197488,210,0.0010329934013723902
15,Optimal,,,11.937458937885499,260,0
16,Discrete,,,11.956731851162228,260,0.0016144904352771408
17,Continuous,weibull_min,3.4520306071994677 1.660137102919971 6.996727512048355,11.93870278983788,260,0.00010419738060280335
18,Optimal,,,11.937458937885499,310,0
19,Discrete,,,11.956693174704245,310,0.0016112505114219727
20,Continuous,loggamma,982.0758872938752 -428.0118185107957 63.296772493233675,11.939294088210751,310,0.00015373039897363303
21,Optimal,,,11.937458937885499,360,0
22,Discrete,,,11.953396852528638,360,0.0013351178610179332
23,Continuous,exponweib,4.254230814053022 3.159417062357811 -2.9286080109522583 9.072660595308403,11.9533025622181,360,0.0013272191690912988
24,Optimal,,,11.937458937885499,410,0
25,Discrete,,,12.201448961296183,410,0.022114423579114372
26,Continuous,exponnorm,0.46769547047454396 7.115452472295123 1.8075019370595906,11.94562688317513,410,0.0006842281370040481
27,Optimal,,,11.937458937885499,460,0
28,Discrete,,,11.961564712324822,460,0.002019338836242625
29,Continuous,maxwell,3.0844715780169527 3.0678040362376393,11.95392313477632,460,0.0013792044836752624
30,Optimal,,,11.937458937885499,510,0
31,Discrete,,,11.998327806337256,510,0.005098980341501352
32,Continuous,weibull_max,3.148793609595812 13.516668123162844 6.281648922739825,12.049913111842304,510,0.009420277342267039
,Function,Fit,Parameters,Cost,Trainset,EML
0,Optimal,,,11.937458937885499,10,0
1,Discrete,,,13.551632595163982,10,0.13521920080961589
2,Continuous,dweibull,0.8868950679796859 8.76964350145995 1.0995363635523274,11.974381631065475,10,0.003093011115020127
3,Optimal,,,11.937458937885499,60,0
4,Discrete,,,12.076998521623091,60,0.011689219997627856
5,Continuous,rice,1.2470798567687873 3.6852484436262483 2.5662111205255718,11.95402005439071,60,0.0013873234321797356
6,Optimal,,,11.937458937885499,110,0
7,Discrete,,,12.05827479861077,110,0.010120735187774498
8,Continuous,laplace,8.361017153304587 1.654408539984508,12.003307796177145,110,0.005516153700237185
9,Optimal,,,11.937458937885499,160,0
10,Discrete,,,12.20083078152458,160,0.022062638708077766
11,Continuous,dweibull,1.255835054488518 8.339436234814642 1.6445101445195043,11.952484778794535,160,0.0012587135157675188
12,Optimal,,,11.937458937885499,210,0
13,Discrete,,,11.960048765614623,210,0.0018923480990943368
