Dartmouth Raiders Dataset --- All files available at  http://datasets-dev.datalad.org/labs/haxby/raiders/,,
Files of size 45MB-70MB,,
,,
name of the file, index over 312 inputs, index over 88 type2
sub-rid000042_task-raiders_acq-8ch340vol_run-08_bold.nii.gz,114,76
sub-rid000042_task-raiders_acq-8ch344vol_run-02_bold.nii.gz,115,77
sub-rid000042_task-raiders_acq-8ch344vol_run-03_bold.nii.gz,116,78
sub-rid000042_task-raiders_acq-8ch344vol_run-06_bold.nii.gz,117,79
sub-rid000042_task-raiders_acq-8ch344vol_run-07_bold.nii.gz,118,80
sub-rid000043_task-raiders_acq-8ch326vol_run-04_bold.nii.gz,121,81
sub-rid000043_task-raiders_acq-8ch336vol_run-01_bold.nii.gz,122,82
sub-rid000043_task-raiders_acq-8ch340vol_run-05_bold.nii.gz,123,83
sub-rid000043_task-raiders_acq-8ch340vol_run-08_bold.nii.gz,124,84
sub-rid000043_task-raiders_acq-8ch344vol_run-02_bold.nii.gz,125,85
sub-rid000043_task-raiders_acq-8ch344vol_run-03_bold.nii.gz,126,86
sub-rid000043_task-raiders_acq-8ch344vol_run-06_bold.nii.gz,127,87
sub-rid000043_task-raiders_acq-8ch344vol_run-07_bold.nii.gz,128,88
